Title,Podficcer,Author,Ship,Link
Dubious and Poison - TTS,BurningAurora,her_smile_forges_galaxies,Sirius Black/Remus Lupin,"<a href=""https://archiveofourown.org/works/44026816"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Dudley Dursley and the Hogwarts Letter (the Top of the Pops Remix),sisi_rambles,kindkit,Dudley Dursley,"<a href=""https://archiveofourown.org/works/2331254"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Dumbledore's Letter: Twist of Fate Verse,Sandstripe,Oakstone730,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/41695848"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Dusk - TTS,BurningAurora,TherestheSnitch,Sirius Black/Remus Lupin,"<a href=""https://archiveofourown.org/works/38293408/chapters/95684470"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Dwelling on Dreams,reveriepi,The_Sinking_Ship,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/52660102/chapters/133201666."" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Early,JocundaSykes,orphan_account,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/31907275"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Edible Smudges and Insufferable Potters (and Insufferable Smudges and Edible Potters),sisi_rambles,Faith Wood (faithwood),Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/447969"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Egg Hunt,fire_juggler,tryslora,Marcus Flint/Percy Weasley,"<a href=""https://archiveofourown.org/works/7504960"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Egyptology 101,EllaMcSmellBella,tygermine,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/41703792"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Eight Attempts at Informing Potter of His Impending Parenthood,sisi_rambles,ennedepaix,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/866297"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
"Eleven Times Remus Said No, and One Time He Said Yes - TTS",BurningAurora,R33sesPieces,Sirius Black/Remus Lupin,"<a href=""https://archiveofourown.org/works/44878285"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Embers and Soot,"blackglass, dreamquaffle, horchatapods, InklingDancer, irrationalpie, JocundaSykesEncore, LenaReads (LenaLawlipop), lyraonyx, Mangacat, Podfics by Juuls (Juulna), Pods and Filks by (SerenaEW), SerenaEW, v0lumnius, with (wilfriede0815)",,* a capella song*,"<a href=""https://archiveofourown.org/works/52454990"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Empty Burrow,Cailynwrites,copperbadge,Arthur Weasley/Molly Weasley,"<a href=""https://archiveofourown.org/works/53571133"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Encounter with the Devil in the Toyshop,Through the Trapdoor,Teddylonglong,"Harry Potter, Severus Snape","<a href=""https://open.spotify.com/episode/11U20bUqn2ptr1NnBy5EPh?si=64be083728bf44e9"" target=""_blank""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
Endgame,JocundaSykes,JocundaSykes,Harry Potter/Severus Snape,"<a href=""https://archiveofourown.org/works/52878076"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Enigma Variations - TTS,BurningAurora,Coriaria,Sirius Black/Remus Lupin,"<a href=""https://archiveofourown.org/works/45205444"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Entangled,Static_Whisper,,Neville Longbottom/Ron Weasley,"<a href=""https://archiveofourown.org/works/38852691"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Epistolary Arrangements,DontStopHerPodfics,DontStopHerNow,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/48968776"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Erosmancy,lazulus,astolat,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/7804927"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Escape,EllaMcSmellBella,Misdemeanor1331,Neville Longbottom/Pansy Parkinson,"<a href=""https://archiveofourown.org/works/44455312"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Escaping Fred Weasley's Magical Mistletoe,Cailynwrites,PTwritesmore,Hermione Granger/Fred Weasley,"<a href=""https://archiveofourown.org/works/52163563"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Evenly Distributed,peasina,tielan,Neville Longbottom & Luna Lovegood,"<a href=""https://archiveofourown.org/works/29658276"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Evergreen,Once Upon a Fanfic,peachykeenjellybean,Hermione Granger/Draco Malfoy,"<a href=""https://open.spotify.com/episode/6KvWpE9WEBjlDktADVgJ38?si=6b83a08a24b04cac"" target=""_blank""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
"Every Leaf That Unfurls, Every Petal That Blooms",micha_making_podfics,bafflinghaze,Draco Malfoy/Harry Potter,"<a href=""https://open.spotify.com/episode/4lv9PyUnWQOm3UpsC2n48W?si=c704f6906014464e"" target=""_blank""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
Every Little Thing She Does (Is Magic),The Dramione Archives,monsterleadmehome,Hermione Granger/Draco Malfoy,"<a href=""https://open.spotify.com/episode/5aG9IZz37aUeyJCKgpg4YP?si=c5e4778fb7ca45ff"" target=""_blank""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
Every Man Makes A God Of His Own Desires (Dulcis Puer Meus) - TTS,BurningAurora,greenvlvetcouch,Sirius Black/Remus Lupin,"<a href=""https://archiveofourown.org/works/45728470"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Every New Beginning,fencer_x,fencer_x,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/51462952/chapters/130054702"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Everything but the Kitchen Sink  - TTS,BurningAurora,R33sesPieces,Sirius Black/Remus Lupin,"<a href=""https://archiveofourown.org/works/46753924"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Exactly How it Happened,peasina,dracogotgame,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/36003532"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Expecto Patronum,Once Upon a Fanfic,Hwllowsandhorcruxes,Hermione Granger/Draco Malfoy,"<a href=""https://open.spotify.com/episode/3TTcGGJ7fNPwQaguYRf8qC?si=76d5be0a23e042df"" target=""_blank""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
Exposure,Gallapod,Gallapod,Draco Malfoy/Harry Potter,"<a href=""https://open.spotify.com/episode/4UbUstLorTHTvIgkyhkl8v?si=dcc11331945845fd"" target=""_blank""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
Eyes in the Darkness - TTS,BurningAurora,meyari,Sirius Black/Remus Lupin,"<a href=""https://open.spotify.com/episode/31SidFpG0Oqq5zTpC2cr5N?si=740fc1d44a014528"" target=""_blank""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
Faint of Heart,ETL_Echo_Audiobooks,eevans,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/47464393"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Fall,JocundaSykes,arcadian_dream,Fleur Delacour/Ginny Weasley,"<a href=""https://archiveofourown.org/works/22899760"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Fallen Marigolds,JocundaSykes,luendland,Harry Potter/Severus Snape,"<a href=""https://archiveofourown.org/works/52609975"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Falling,Draco Malfoy Podfics,fallingforfictionalcharacterss,Hermione Granger/Draco Malfoy,"<a href=""https://open.spotify.com/episode/0dfPp4QV3Sx4ONvO9DSm7t?si=M07ZozrFTtGgohpcPcoOOg"" target=""_blank""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
Falling Chandeliers,EllaMcSmellBella,tygermine,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/41703615"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
"Falling For You, Like Snow On a Christmas Night ",BurningAurora,Engie_Ivy,Sirius Black/Remus Lupin,"<a href=""https://archiveofourown.org/works/43806327"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Familiar,peasina,mayachain,Harry Potter/Ginny Weasley,"<a href=""https://archiveofourown.org/works/32542207"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Fantastic Beasts and How To Find Them,Opalsong,Lullabyknell,"Lucius Malfoy, Narcissa Black Malfoy, Luna Lovegood, The Weasleys","<a href=""https://archiveofourown.org/works/8831728"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Fast the Night Is Fading,Cailynwrites,snapesnailtape,Lily Evans Potter/Severus Snape,"<a href=""https://archiveofourown.org/works/51983959"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
fate and plans,ETL_Echo_Audiobooks,"elithien, senlinyu",Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/41138862"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Father Knows Best,Queenie_Mab,Queenie_Mab,Draco Malfoy/Original Male Character(s),"<a href=""https://archiveofourown.org/works/2295122"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Father(s) of the Grooms,Queenie_Mab,dracogotgame,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/2353106"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Feeling Warm,ETL_Echo_Audiobooks,gnarf ,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/43313140"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Ferrety Little Mouths and How to Snog with Them,lastontheboat,fluxweed,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/41530014"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Festive Mood,Cailynwrites,PaulaMcG,Amelia Bones/Molly Weasley,"<a href=""https://archiveofourown.org/works/52303732"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Fever Dreaming,FanFixation,mrerens,Hermione Granger/Draco Malfoy,"<a href=""https://open.spotify.com/episode/52MzQIQC9QgEMUL6kVjCy9?si=97c4ece567b0466e"" target=""_blank""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
Fifteen Things You Never Knew About Hogwarts,sisi_rambles,Siria,Argus Filch,"<a href=""https://archiveofourown.org/works/4806392"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Fifty Shades of Granger,M+G Readings,winterwells,Hermione Granger/Draco Malfoy,"<a href=""https://open.spotify.com/episode/7iUl8K8irWqceLsD36HW4V?si=c84958971b354158"" target=""_blank""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
Figure You Out by MalfoysMuggleMrs,ETL_Echo_Audiobooks,MalfoysMuggleMrs,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/47178901"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Final Battle Day,starduchess,RoozetteR ,Harry Potter/Severus Snape,"<a href=""https://www.audiofic.jinjurly.com/final-battle-day"" target=""_blank""><img src=""./imgs/default.png"" alt=""default"" class=""link_icon""></a>"
Final Examination,JocundaSykes,asecretchord,Harry Potter/Severus Snape,"<a href=""https://archiveofourown.org/works/34551859"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Finders Keepers,Cailynwrites,Lilian,Harry Potter/Severus Snape,"<a href=""https://archiveofourown.org/works/48639283"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Finding Hermione,SEP FanFic Readings,ebookdragon,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/53924101"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Finding Neville Longbottom,DontStopHerPodfics,DontStopHerNow,Neville Longbottom/Pansy Parkinson,"<a href=""https://archiveofourown.org/works/46501942"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Finding the Center,cosmicology,wasureneba,Hermione Granger/Luna Lovegood,"<a href=""https://archiveofourown.org/works/54025081#main"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Finding the Way Home,fire_juggler,alisanne,Harry Potter/Severus Snape,"<a href=""https://archiveofourown.org/works/627869"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Fire Burning,ETL_Echo_Audiobooks,tryslora,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/42785835"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
First Burn & Spark,Ashata,fruitcoops,Sirius Black/Remus Lupin,"<a href=""https://archiveofourown.org/works/45115015"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
First Kiss,JocundaSykes,cordeliadelayne,Kingsley Shacklebolt/Severus Snape,"<a href=""https://archiveofourown.org/works/36297637"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
First Thoughts,wilfriede0815,devilinthedetails,Fleur Delacour/Bill Weasley,"<a href=""https://archiveofourown.org/works/54180724"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Five Days,SEP FanFic Readings,RavieSnake,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/53872171?view_adult=true"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Five Little Things,ETL_Echo_Audiobooks,bixgirl1,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/42581982"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Five Little Things,RattleandHum,bixgirl1,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/33764527"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Five Reasons Hermione Thinks Luna is Brilliant,Flowerparrish Pods,Perfica,Hermione Granger/Luna Lovegood,"<a href=""https://archiveofourown.org/works/41149431"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Five Steps to Surviving Cabin Fever,ETL_Echo_Audiobooks,hippocrates460,Harry Potter/Severus Snape,"<a href=""https://archiveofourown.org/works/48733510"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Five Women Neville Longbottom has Loved and Lost,EllaMcSmellBella,gyzym,Neville Longbottom/Luna Lovegood,"<a href=""https://archiveofourown.org/works/41203920"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Flying Dutchman,wilfriede0815,kelly_chambliss,Aberforth Dumbledore/Wilhelmina Grubbly-Plank,"<a href=""https://archiveofourown.org/works/47044444"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Focus Potion,ETL_Echo_Audiobooks,fwooshy,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/51133783"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Follow the Yellow Brick Road,EllaMcSmellBella,GallifreyisBurning,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/50385373"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
"For here you are, standing there, loving me (whether or not you should) - TTS",BurningAurora,OptimisticDinosaur,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/45362572"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
For Lack of a Bezoar,TheLastVoice,Bolshevikmuppet99,Hermione Granger/Harry Potter,"<a href=""https://archiveofourown.org/works/39481926/chapters/98818953"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
For Old Times' Sake,ETL_Echo_Audiobooks,thestarryknight,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/43158603"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
For Queen & Country,BurningAurora,Quietlemonhush,Sirius Black/Remus Lupin,"<a href=""https://archiveofourown.org/works/47389594"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
"For those of you who just tuned in, everyone here is a crazy person.",EllaMcSmellBella,GallifreyisBurning,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/50385493"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
For Want of a Jumper,ETL_Echo_Audiobooks,"elithien, senlinyu",Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/41138673"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
For Want of a Jumper,The Dramione Archives,"elithien, senlinyu",Hermione Granger/Draco Malfoy,"<a href=""https://open.spotify.com/episode/5p3q2Yo4yYG7DjZbBbcwtX?si=02ca4d93dce1417e"" target=""_blank""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
Forgot To Mention One Little Thing,BurningAurora,Engie_Ivy,Sirius Black/Remus Lupin,"<a href=""https://archiveofourown.org/works/43743205"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Forty Points,sisi_rambles,orphan_account,"Tom Riddle, Moaning Myrtle","<a href=""https://archiveofourown.org/works/21798373"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Free Falling,EllaMcSmellBella,danpuff,Hermione Granger/Ginny Weasley,"<a href=""https://archiveofourown.org/works/44291948"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Friendly Advice,Queenie_Mab,Vaysh,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/1107294"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
From Sunset to Star Rise,DontStopHerPodfics,Schmem_14,Harry Potter/Ron Weasley,"<a href=""https://archiveofourown.org/works/43122799"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
From The Start,The Dramione Archives,sweetestsorrows,Hermione Granger/Draco Malfoy,"<a href=""https://open.spotify.com/episode/1RGPIv6uvFS1fGv6XH2jM0?si=a156da1a3cea421f"" target=""_blank""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
From Whiltshire With Love,AuroraVale,MistressLynn,Hermione Granger/Draco Malfoy,"<a href=""https://open.spotify.com/episode/3MQnlGajnLSfM3iv8rWhQk?si=36cb102ccafc461a"" target=""_blank""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
From Whiltshire With Love,Dark Desires Fanfiction Readings,MistressLynn,Hermione Granger/Draco Malfoy,"<a href=""https://open.spotify.com/episode/0zrbmQ1GMxT6VDJpeE1FI4?si=ded974a6c779483c"" target=""_blank""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
From Whiltshire With Love,Fanfiction for Friends,MistressLynn,Hermione Granger/Draco Malfoy,"<a href=""https://open.spotify.com/episode/6i5CQ8YmHQw0XZJziTUmtd?si=b2cc5f1a27f843c7"" target=""_blank""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
Fulfilling of the Secret Wish,ETL_Echo_Audiobooks,smirkingcat,Remus Lupin/Draco Malfoy,"<a href=""https://archiveofourown.org/works/52304092"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Futile - TTS,BurningAurora,R33sesPieces,Sirius Black/Remus Lupin,"<a href=""https://archiveofourown.org/works/44868421"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Game Over,"EleanorPhoenix, Pods and Filks by (SerenaEW)","EleanorPhoenix, Pods and Filks by (SerenaEW)",Harry Potter/Severus Snape,"<a href=""https://archiveofourown.org/works/50859115"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Garden War,JocundaSykes,Cibee,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/31214915"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Gender Norms and Equality,Dramione Oneshots,,Hermione Granger/Draco Malfoy,"<a href=""https://open.spotify.com/episode/1zJ90t9ZatPmLzwI3x3SLi?si=31dc9508ff0940c0"" target=""_blank""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
Getting Even,FanFixation,mrsren,Hermione Granger/Draco Malfoy,"<a href=""https://open.spotify.com/episode/22bynIwcRayxa43X5TBnPV?si=WsAFH69zRDSv4tY_fsOSGQ"" target=""_blank""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
Ghosts in a Wishing Well,The Dramione Archives,namelessamelie,Hermione Granger/Draco Malfoy,"<a href=""https://open.spotify.com/episode/29Z0yO3uFxjJlHzMbDoU6j?si=7290e98a4c1e4117"" target=""_blank""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
Gilderoy's helping hand,Through the Trapdoor,Bagge,Ginny Weasley/Gilderoy Lockhart,"<a href=""https://open.spotify.com/episode/5ZXkd4zoqWHqlCSWRdBGLM?si=e0e40da746e14eb7"" target=""_blank""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
Give Me a Sign,BurningAurora,TherestheSnitch,Sirius Black/Remus Lupin,"<a href=""https://open.spotify.com/episode/5Fgd62M5QQRZ96QyWUREQF?si=726094e8f0d3432f"" target=""_blank""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
Give Me A Sign - TTS,BurningAurora,TherestheSnitch,Sirius Black/Remus Lupin,"<a href=""https://archiveofourown.org/works/49726165"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
glimpses of your universe,UnholyCrowley,MiaBrown,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/41111637"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Gloriana Set,EllaMcSmellBella,ThebeMoon,Hermione Granger/Draco Malfoy,"<a href=""https://open.spotify.com/episode/329Rn88qwHZSSxy7OgPnN8?si=e1bcd26fe2f54b22"" target=""_blank""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
Godfathers and Legal Guardians,lalaspodfics,pancake_surprise (keenbean),Sirius Black/Remus Lupin,"<a href=""https://archiveofourown.org/works/36922213"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Going to the Chapel - TTS,BurningAurora,R33sesPieces,Sirius Black/Remus Lupin,"<a href=""https://open.spotify.com/episode/297xaM97jEu4BKJ61P7v1d?si=5a62b8285e344eae"" target=""_blank""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
gold and silver wings,peasina,kitsunerei88,Cho Chang/Cedric Diggory,"<a href=""https://archiveofourown.org/works/42787347"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Golden,roseszain,acGranger,Sirius Black/Remus Lupin,"<a href=""https://archiveofourown.org/works/40679634"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Good Dreams,DemonFeedAudio,thelonelywriter,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/40219776"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Good Like That,EllaMcSmellBella,Amarillis39 and MissMrah,Theodore Nott/Harry Potter,"<a href=""https://archiveofourown.org/works/39362355"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Good Little Soldiers,smirkingcat,MykEsprit,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/16923663"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Good Luck Kisses,ETL_Echo_Audiobooks,Musyc,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/41137809"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
