Title,Podcaster,Author,Chapters,Status,Time,Ship or Main Character,Link,Spotify/stream,Third Link,FANDOM NAME,,Date Podfic Published/Updated,Date Fic Published,,SHIP NAME,Ship or Main Character,COUNTA of Ship or Main Character
A Gothic Christmas Patented Daydream Charm,smirkingcat,Vaysh11,oneshot,complete,15-60 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/52672726,,,Drarry,,,,,,,
A Grim Old Cat,monarchyofone,oliversnape,oneshot,complete,1-5 hours,Harry Potter/Severus Snape,https://archiveofourown.org/works/29195676,,,Snarry,,,,,,,
A Handful of Dust,Firerose,Firerose,oneshot,complete,0-15 mins,Voldemort,https://amplificathon.dreamwidth.org/1885233.html,,,,,,,,,,
A Happy Holiday Indeed,FanficTalk Podfics,crowsb4bros,oneshot,complete,0-15 mins,Dobby,,https://open.spotify.com/episode/6K5RyA6jdoR2KJXf6GtnOI?si=_YhGV6XQT5SRJTGs4WzO_g,,,,,,,,,
A hard day's work,"Cailynwrites, Kittona, Rindle",leftsidedown,oneshot,complete,0-15 mins,Bellatrix Black Lestrange/Rita Skeeter,https://archiveofourown.org/works/56263885,,,,,,,,,,
a haunted house with a metal fence,EllaMcSmellBella,plutomoony,oneshot,complete,15-60 mins,Sirius Black/Remus Lupin,https://archiveofourown.org/works/50142241,https://open.spotify.com/episode/4tBpnBvwmAifoeznqbowOZ?si=e1082997676f4520,,Wolfstar,,,,,,,
a historic and seismic shift,via_ostiense,singlecrow,oneshot,complete,0-15 mins,Hermione Granger,https://amplificathon.dreamwidth.org/360917.html,,,,,,,,,,
A Hogwarts Carol,Cosbrarian,Cosbrarian,oneshot,complete,15-60 mins,Rolanda Hooch/Minerva McGonagall,https://archiveofourown.org/works/43778484,,,,,,,,,,
A Hogwarts Fairy Tale,Opalsong,Opalsong,oneshot,complete,0-15 mins,Sirius Black/Remus Lupin,https://archiveofourown.org/works/13306968,,,Wolfstar,,,,,,,
A house is not a home,acGranger,deliciousblizzardshark,oneshot,complete,1-5 hours,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/43167114,,,Drarry,,,,,,,
A House on Fire,LauDH8,p1013,oneshot,complete,15-60 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/36835453,,,Drarry,,,,,,,
A Husband for Christmas,EllaMcSmellBella,jolly_love,27 of 27,complete,1-5 hours,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/52399027,https://open.spotify.com/episode/1OWoFmC8nH9Cdzy4eYbtPJ?si=a3293f9e721f408e,,Drarry,,,,,,,
A Jersey,The Dramione Archives,tealitful,23 of 23,complete,1-5 hours,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/54912655,https://open.spotify.com/episode/0nocApQHoLWuUQc3OKrsFW?si=a1c27300fc884dc8,,Dramione,,,,,,,
A Lesson in Fidelity - TTS,BurningAurora / Wolfstar Podfics,Quietlemonhush,oneshot,complete,15-60 mins,Sirius Black/Remus Lupin,https://archiveofourown.org/works/51319543,https://open.spotify.com/episode/2gJFEn778MCvhH6CjK4duE?si=NK-Qfcb5QTWBbFCXW0bDHw,,Wolfstar,,,,,,,
A Letter is Like Immortality,FanficTalk Podfics,magemadi,oneshot,complete,15-60 mins,Adrian Pucey,,https://open.spotify.com/episode/0JqGdNIX9914Ylcw2VRWaS?si=743befe292104e2b,,,,,,,,,
