Title,Podcaster,Author,Chapters,Status,Time,Ship or Main Character,Link,Spotify/stream,Third Link,FANDOM NAME,,Date Podfic Published/Updated,Date Fic Published,Fic Link,notes,SHIP NAME,Ship or Main Character,COUNTA of Ship or Main Character
A Mist That Appears (For a Little Time),Anonymous,dodgerkedavra,11 of 11,complete,1-5 hours,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/54585097,,,Drarry,,2024/05/04,2023/06/15,https://archiveofourown.org/works/383974,,,,
A Mistress For Christmas,LenaLawlipop,queerlybeloved777,oneshot,complete,0-15 mins,Sirius Black,https://archiveofourown.org/works/44261146,,,,,2023/01/14,2022/12/27,https://archiveofourown.org/works/79226,,,,
A most plausible Explanation,Juulna,noxsoulmate,oneshot,complete,15-60 mins,Hermione Granger/Remus Lupin,https://archiveofourown.org/works/47206477,,,Remione,,2023/05/16,2019/10/12,https://archiveofourown.org/works/22411,,,,
A Mother's Love,FanficTalk Podfics,TreacleTart,oneshot,complete,0-15 mins,"Ariana Dumbledore, Kendra Dumbledore",,https://open.spotify.com/episode/2CBv9pWHLLdb7zXxyryHNz?si=15280a07d6ec4e1f,,,,2020/02/01,,https://archiveofourown.org/collections/HP_Saffics_Summer_Exchange_2022/works/40025622,,,,
A Muggleborns Guide to Bagging a Pureblood,The Dramione Archives,ravengoldy,oneshot,complete,15-60 mins,Hermione Granger/Draco Malfoy,,https://open.spotify.com/episode/01E42Esuk1rEaT06EGxGjQ?si=ab8ccd97442347aa,,Dramione,,2024/03/17,2023/02/05,,needs investigating,,,
A Nasty Piece of Work,picascribit,picascribit,oneshot,complete,1-5 hours,Fenrir Greyback/OFC,https://archiveofourown.org/works/960527,,,,,2013/09/13,2013/09/13,https://archiveofourown.org/works/47866243/chapters/120674740,,,,
A New Approach,twasadark,byaghro,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://audiofic.jinjurly.com/new-approach,,,Drarry,,,,https://archiveofourown.org/works/43885470,,,,
A New Incentive,sisi_rambles,reserve,oneshot,complete,15-60 mins,Credence Barebone/Percival Graves,https://archiveofourown.org/works/8699983,,,,,2016/11/30,2016/11/20,https://archiveofourown.org/works/21000830,,,,
A New Kind of Frustration,pommedeplume,pommedeplume,oneshot,complete,15-60 mins,Hermione Granger/Ron Weasley,https://archiveofourown.org/works/2067741,,,Romione,,2014/08/02,2014/08/02,https://archive.hpfanfictalk.com/viewstory.php?sid=1166,needs investigating (many of these ,,,
A Night Off From the War,picascribit,picascribit,oneshot,complete,15-60 mins,James Potter/Lily Evans Potter,https://archiveofourown.org/works/1715756,,,Jily,,2014/05/30,2014/05/30,https://archiveofourown.org/works/44807315,,,,
